Organization;Description
SEMPLAN;Secretaria Municipal de Planejamento e Coordenaçao
SEMDUH;Secretaria Municipal de Desenvolvimento Urbano e Habitaçao
CDL;Câmara de Dirigenes Lojistas de Teresina
SEMEST;Secretaria Municipal de Economia Solidaria de Teresina
SEMDEC;Secretaria Municipal de Desenvolvimento Econòmico e Turismo
SEBRAE;Serviço Brasileiro de Apoio às Micro e Pequenas Empresas
FIEPI;Federaçao das Indústrias do Estado de Piauí
Caixa Economica;
IFPI;Instituto Federal de Educaçao Ciència e Tecnologia do Paulí
AFD;French Development Agency 
CAF;Banco de Desenvolvimento da América Latina
Ministerio da Economia;
NBD;Novo Banco de Desenvolvimento
BNDES;Banco Nacional de Desenvolvimento Econômico e Social
MDR;Ministério do Desenvolvimiento Regional
Banco do Brasil;
UESPI;Universidade Estadual do Piauí
SINDUSCON;Sindicato da Indústria da Construçao Civil de Teresina
World Bank;
UFPI;Universidade Federal do Piaui
SINDCOM;Sindicato dos Empregados no Comércio de Teresina
MOVE-PI;Movimento Empreender Piauí
