Industry Sector;Total Employment;Employment Share (%);Employment Share ^ 2
Public Administration;76900;0,264788926;0,070113176
Retail sector;49600;0,170787136;0,029168246
Administrative Activities;37800;0,130156325;0,016940669
Human Healthcare and Social Services ;22000;0,075752359;0,00573842
Education;17600;0,060601887;0,003672589
Processing Industries;15900;0,054748296;0,002997376
Construction;15200;0,052337993;0,002739266
Lodging and Food;10200;0,035121548;0,001233523
Transport and Postal Services;8740;0,030094346;0,00090567
Others services activities;19277;0,066376283;0,004405811
Specialized Services;4940;0,017009848;0,000289335
Agriculture;843;0,002902693;8,42562E-06
Domestic Services;2330;0,008022863;6,43663E-05
Electricity and Gas;3;1,03299E-05;1,06706E-10
Extractive Industry;204;0,000702431;4,93409E-07
Information and Communication;2330;0,008022863;6,43663E-05
Arts , entertainment and recreation;943;0,003247022;1,05431E-05
Real estate activities;1040;0,003581021;1,28237E-05
Financial Activities;3340;0,011500585;0,000132263
Water supply, sewerage, waste management and remediation activities;1230;0,004235246;1,79373E-05
U;0;0;0
All Sectors;290420;1;
HHI;;;0,138515298
